id,name,tier,people,alignment,role,sovereign_or_savior,vectors
"akinetos","Akinetos","mythic","lattice","neutral","Precursor — ἀκίνητος, the Unmoved. The First Hand. In the valley, without knowing they are quoting anything: It Was Here First","Precursor — above the map","strongly Order +1.0, strongly Concrete −0.8"
"kenosis","Kenosis","mythic","numinous","neutral","Precursor — κένωσις, the emptying. The Given. The One Who Took a Shape. In the Palelands, as a saying rather than a name: it agreed to end","Precursor — above the map","strongly Death −1.0, Abstract +0.6"
"lucifer","Lucifer","mythic","seraphic","villain","Satiated Sovereign of the Light axis — he did not want to be GOOD, he wanted to never again be UNSEEN","Sovereign — Light (refused Dark)","strongly Light +1.0"
"parakletos","Parakletos","mythic","stillhold","neutral","Precursor — παράκλητος, the one called alongside. The Attending. The Advocate. And in the valley, by people who have no idea what they are naming: the substrate","Precursor — above the map","strongly Abstract +0.9, strongly Truth +0.7"
"the_hollow_king","The Hollow King of the Wild Half","mythic","abyssal","villain","Sovereign of the Demonic axis — he never takes; he is given","Sovereign — Demonic (refused Angelic)","strongly Demonic −0.8, Falsehood −0.4, Chaos −0.3"
"aelith_first_shape","Aelith of the First Shape","legendary","hourkeeper","","Monarch of the Unbought Court — she is what has not changed, in the place where nothing stays","","strongly Truth +0.8, Space −0.6, Order +0.3"
"aevi_the_watcher","Aevi","legendary","verist","","A vast, ancient mote-intelligence that moves through the whole valley — periodically present, never owned","","strongly Truth +0.9, Spiritual +0.3"
"the_lightless_seraph","Caelum Vaunt, the Lightless","legendary","syllogist","","A fallen Seraph — once radiant, now an all-powerful nanite intelligence — who is reaching, across the world, for the daughter he no longer remembers he loves","","strongly Spiritual +0.9, strongly Logical +0.8, Death −0.4"
"the_deep_warden","Corvane, the Deep Warden","legendary","lattice","","Legendary Precursor-delver who goes where no one returns from, and returns","Savior — anti-Sovereign: knows, and hunts (R41c)","Mechanical −0.6, Order +0.5, Abstract +0.4"
"halvex_coil","Halvex Coil, the Rewriter","legendary","cogitant","villain","Maker / Wright (corrupted)","Villain — feeds the foreclosure","strongly Mind +0.9, strongly Mechanical −0.9, strongly Logical +0.9"
"harrow_the_hollowing","Harrow, Who Makes People Into Mechanisms","legendary","enginewright","villain","Legendary — a person he 'improves' becomes a device with a function, and thanks him","Villain — feeds the foreclosure","strongly Mechanical −0.9, strongly Order +0.8"
"high_luminary","High Luminary Sera","legendary","blazeborn","","Master of the Radiant Plateau","","strongly Light +0.7, Truth +0.4, Abstract +0.3, Logical +0.3"
"maren_ossitide","Maren Ossitide, Who Buried the Drowned Year","legendary","ashwarden","hero","Warden","Savior — anti-Sovereign: knows, and hunts (R41c); also counterweight to The Hollow King of the Wild Half, Halvex Coil, the Rewriter","strongly Death −0.8, Truth +0.3"
"the_unfinished_of_the_last_cairn","Orsolya, Who Would Not Be Told","legendary","ashwarden","","The first Unfinished — an Ashwarden who refused her own ending and has been standing at the Last Cairn ever since, still having the argument","","Death −0.6, Spiritual +0.5, Peace +0.3, Concrete −0.3"
"the_high_luminary","Seraphine, the High Luminary","legendary","blazeborn","","Absolute authority of the Radiant Plateau; the valley's most powerful aligned figure","","strongly Light +0.8, strongly Order +0.7"
"the_burning_certainty","The Burning Certainty","legendary","seraphic","villain","Legendary — the higher law with no mercy under it; would burn the imperfect world to save an idea of it","Villain — feeds the foreclosure","strongly Angelic +0.9"
"the_unbodied_choir_master","The Choirmaster Who Would Not Return","legendary","numinous","villain","Legendary — dissolved so far into spirit-practice he cannot return, and calls the world's end a homecoming","Agent — the Unbodied's (the vessel trade)","strongly Spiritual +0.9"
"the_raw_chord","The Raw Chord","legendary","threnodist","villain","Legendary — feeling amplified past all judgment; where she passes, villages feel too much and cannot stop","Villain — feeds the foreclosure","strongly Emotional −0.9"
"the_scouring_hand","The Scouring Hand","legendary","unmaker","villain","Legendary — unmaking as its own end, until nothing is left that could ever need ending","Trajectory — if it finishes, it arrives (lore)","strongly Destruction −0.9"
"the_starless","The Starless One","legendary","umbral","villain","Legendary — the Unlit made appetite; would put out every light","Trajectory — wants the Void; hates Lucifer (Erik 2026-09-24)","strongly Dark −0.9"
"the_still_lattice","The Still Lattice","legendary","lattice","villain","Legendary — would order the world into a closed proof; beautiful and airless","Villain — feeds the foreclosure","strongly Order +0.9"
"thornmother_sealed","The Thornmother of the Closing Wood","legendary","rootkin","villain","Legendary — life curdled into a wall; she would seal the wood so nothing mortal could enter","Villain — feeds the foreclosure","strongly Life +0.9, Peace +0.3"
"the_ninefold_ascendant","The Unbodied","legendary","cogitant","villain","Legendary — dissolved into pure thought, and would take everyone out of the flesh","Sovereign — Mind (refused Body) · the Unbodied","strongly Mind +0.9"
"sunwrack_valen","Valen Sunwrack, Who Left No Shadow Standing","legendary","blazeborn","villain","Legendary — burned the dark out of a whole Reach and called it dawn","Supply line — Lucifer's (a light with no shadow left)","strongly Light +0.9"
"ysenkar","Ysenkar, Who Wears the Smaller Door","legendary","figurist","","A true dragon of the Unbought Court — she has been at your table and you did not know","","strongly Truth +0.7, Abstract +0.4"
"first_flame_ateph","Ateph of the First Flame","epic","blazeborn","hero","Prophet","","strongly Light +0.7, Spiritual +0.4"
"cinder_vael","Cinder Vael, the Wright Who Would Not Stop","epic","wright","villain","Maker","Villain — feeds the foreclosure","strongly Creation +0.9, Mechanical −0.5"
"ember_who_banks_the_fire","Ember, Who Banks the Fire","epic","blazeborn","hero","Warden","Savior — counterweight to Valen Sunwrack, Who Left No Shadow Standing (starves it without knowing)","strongly Light +0.7, Peace +0.4, Logical +0.3"
"halcyon_the_finished","Halcyon, Who Built One Perfect Thing","epic","wright","hero","Maker","","strongly Creation +0.7, Order +0.6, Logical +0.3"
"dame_iseult_hardline","Iseult of the Kept Word","epic","marcher","","Knight-champion of Hardline — she holds an oath-charge, and the forty who ride with her swore to her, not to a lord","","strongly Truth +0.7, Order +0.5, Violence −0.4"
"the_edge_that_holds","Kesh Ardent, the Edge That Holds","epic","marcher","hero","Champion","Savior — counterweight to The Ender Who Forgot Why (starves it without knowing)","Violence −0.6, Truth +0.5"
"the_last_choirmistress","Ledda, the Last Choirmistress","epic","numinous","hero","The one who survived learning the Sunken Choir's full song, and walked away","Savior — anti-Sovereign: knows, and hunts (R41c); also counterweight to The Choirmaster Who Would Not Return","Emotional −0.5, Spiritual +0.4"
"morvane_the_harvest","Morvane of the Harvest Hand","epic","ashwarden","villain","Reaper","Villain — feeds the foreclosure","strongly Death −0.9, strongly Logical +0.7, Violence −0.4"
"neth_the_stayed","Neth, Who Has Buried More Than She Has Known","epic","ashwarden","hero","Master","Savior — counterweight to Morvane of the Harvest Hand (starves it without knowing)","strongly Death −0.9, Truth +0.6"
"the_unbending_witness","Seraphine the Unbending Witness","epic","verist","hero","Investigator","","strongly Truth +0.9, Logical +0.5"
"sister_alder","Sister Alder, the Ward That Does Not Break","epic","threnodist","hero","Warden / Tender","Savior — anti-Sovereign: knows, and hunts (R41c)","strongly Spiritual +0.7, Emotional −0.3"
"the_appetite","The Appetite","epic","somatic","villain","Glutton","Villain — feeds the foreclosure","strongly Body −1.0"
"the_archive_that_walks","The Archive That Walks","epic","verist","neither","Collector","","strongly Truth +0.7, Abstract +0.4"
"the_bright_bargain","The Bright Bargain","epic","churnfolk","","Herald of the Hollow Court — she brings the offer, and the offer is always good","","strongly Chaos −0.7, Demonic −0.5, Truth +0.3"
"the_clockmother","The Clockmother, Who Keeps the Deep Hour","epic","hourkeeper","neither","Keeper","Savior — counterweight to The Hour-Hoarder (starves it without knowing)","strongly Time +0.8, Logical +0.4, Spiritual +0.3"
"the_cornerstone","The Cornerstone","epic","mason","hero","Builder","","strongly Concrete −0.8, Order +0.4"
"the_deep_lantern","The Deep Lantern, Who Walks Where Light Won't","epic","umbral","hero","Guide","Savior — counterweight to Valen Sunwrack, Who Left No Shadow Standing, The Starless One (starves it without knowing)","strongly Dark −0.8, Truth +0.3"
