id,called,whole_name,true_name,title,known_by,tier,people,alignment,sovereign_or_savior,vectors
"akinetos","Akinetos","","Akinetos","the Unmoved, the First Hand","few","mythic","precursor","neutral","Precursor — above the map","strongly Order +1.0, strongly Concrete −0.8"
"kenosis","Kenosis","","Kenosis","the Given, the One Who Emptied","few","mythic","precursor","neutral","Precursor — above the map","strongly Death −1.0, Abstract +0.6"
"lucifer","Lucifer","","Lucifer","the Light-Bearer","gm","mythic","seraphic","villain","Sovereign — Light (refused Dark) · a Precursor being · masked as Eosphor","strongly Light +1.0"
"parakletos","Parakletos","","Parakletos","the One Called Alongside","few","mythic","precursor","neutral","Precursor — above the map","strongly Abstract +0.9, strongly Truth +0.7"
"the_hollow_king","The Hollow King of the Wild Half","Ashur Lucan Morcant","","the Hollow King of the Wild Half","gm","mythic","abyssal","villain","Sovereign — Demonic (refused Angelic)","strongly Demonic −0.8, Falsehood −0.4, Chaos −0.3"
"aelith_first_shape","Aelith of the First Shape","Aelith Ever Oldhour","","Monarch of the Unbought Court, of the First Shape","few","legendary","elven","","","strongly Truth +0.8, Space −0.6, Order +0.3"
"aevi_the_watcher","Aevi","","Aevi Saumblau","the Watcher","few","legendary","construct","","","strongly Truth +0.9, Spiritual +0.3"
"the_lightless_seraph","Caelum Vaunt, the Lightless","Caelum Clement Vaunt","","the Lightless","world","legendary","seraph","","","strongly Spiritual +0.9, strongly Logical +0.8, Death −0.4"
"the_deep_warden","Corvane, the Deep Warden","Corvane Brevis Plumbline","","the Deep Warden","world","legendary","human","","Savior — anti-Sovereign: knows, and hunts (R41c)","Mechanical −0.6, Order +0.5, Abstract +0.4"
"halvex_coil","Halvex Coil, the Rewriter","Halvex Kyre Coil","","the Rewriter","world","legendary","cogitant","villain","Villain","strongly Mind +0.9, strongly Mechanical −0.9, strongly Logical +0.9"
"harrow_the_hollowing","Harrow, Who Makes People Into Mechanisms","Harrow Gideon Ratchett","","Who Makes People Into Mechanisms","world","legendary","enginewright","villain","Villain","strongly Mechanical −0.9, strongly Order +0.8"
"high_luminary","High Luminary Sera","Seraphine Aurel Lumenhall","","High Luminary of the Radiant Plateau","world","legendary","human","","","strongly Light +0.7, Truth +0.4, Abstract +0.3, Logical +0.3"
"maren_ossitide","Maren Ossitide, Who Buried the Drowned Year","Maren Hild Ossitide","","Who Buried the Drowned Year","world","legendary","ashwarden","hero","Savior — anti-Sovereign: knows, and hunts (R41c) · counterweight to The Hollow King of the Wild Half, Halvex Coil, the Rewriter","strongly Death −0.8, Truth +0.3"
"the_unfinished_of_the_last_cairn","Orsolya, Who Would Not Be Told","Orsolya Dagny Cairnsey","","the Unfinished, Who Would Not Be Told","world","legendary","human","","","Death −0.6, Spiritual +0.5, Peace +0.3, Concrete −0.3"
"the_high_luminary","Seraphine, the High Luminary","Seraphine Aurel Lumenhall","","High Luminary of the Radiant Plateau","world","legendary","human","","","strongly Light +0.8, strongly Order +0.7"
"the_burning_certainty","The Burning Certainty","Gloriana Perpetua Excelsin","","the Burning Certainty","gm","legendary","seraphic","villain","Claimant on the refused half — Angelic","strongly Angelic +0.9"
"the_unbodied_choir_master","The Choirmaster Who Would Not Return","Sael Wynn Otherwell","","the Choirmaster Who Would Not Return","few","legendary","numinous","villain","Agent — the Unbodied's (the vessel trade)","strongly Spiritual +0.9"
"the_raw_chord","The Raw Chord","Miren Melisma Tremaine","","the Raw Chord","gm","legendary","threnodist","villain","Villain","strongly Emotional −0.9"
"the_scouring_hand","The Scouring Hand","Fallon Tace Demolin","","the Scouring Hand","gm","legendary","unmaker","villain","Challenger — Breaking (held by the Last Mercy)","strongly Destruction −0.9"
"the_starless","The Starless One","Liath Seren Oubliere","","the Starless One","gm","legendary","umbral","villain","Claimant on the refused half — Dark · wants the Void, hates Lucifer","strongly Dark −0.9"
"the_still_lattice","The Still Lattice","Nonus Brevis Cordon","","the Still Lattice","gm","legendary","lattice","villain","Claimant — Order (the open seat, unopposed)","strongly Order +0.9"
